Message text,Категория,Kategory
Aggressive dogs. On the rainbow there is a flock of grown puppies and adult dogs. They rushed at the Child. Soyaki rush to try to bite the legs. Talking to the guards didn't work.,1,False
"A caustic and unhealthy smell from the quarries of the Cheese Valley plant. - they clean pipes and technical baths with `caustic soda`, then this liquid is poured into the soil without filtration, from where everything enters the groundwater; - in recent years there have been two big fires in the quarries. fat is drained there, which burns well. The gas pipeline was damaged due to the fire. In the presence of wind, the village could burn down; - a pungent odor spreads up to 10 km in different directions, depending on the direction of the wind; - sewage fell into the forest in winter, and a couple of years ago into the pond of Kalinovka village; - an activist who fought against this phenomenon (Dmitry Kutepov) was intimidated by the plant's guards, and people from law enforcement agencies were threatened with a prison term; - Since 2008, the villagers have been complaining, but no action has been taken; - Children have repeatedly fallen into these careers, incl. Adults. No deaths; - headaches and asthma attacks develop from a pungent odor. * Clean water is purposefully collected in one quarry. This quarry is located near the road and all inspections take samples from it. Made it specifically for this. At the moment, waste is drained at night, but it happens during the day. Always at different times. When draining, the fatty film on the surface is broken and everything is tightened with a pungent odor. According to the norms and legislation of the Russian Federation, this production should not be located near residential buildings. Hence, there is a gross violation of the location of production and the location of its tanks for draining sewage. We hope that the laws of the Russian Federation will be observed and production will be moved to another place far from residential buildings or the pits will be drained,",16,False
"There is no road lighting from the beginning of Pobedy Avenue, including in the area of ​​the pedestrian crossing from the Meteorological Station stop from the side of Tamchishina Street along the Walk of Fame, which creates a danger of an emergency.",3,True
Please put me and my family on the waiting list for financial assistance,6,False
"We are constantly cleaning the territory between the extreme houses on Anatoly Deriglazov Avenue and SNT ""Festivalnoe"", but ""things are still there"", according to information from summer residents, the land plot on which the dump 24 by 7 was sold by the chairman of the SNT and this unauthorized landfill has owners . Who is to blame and what to do? We have an apartment on Deriglazova Street and a summer cottage in SNT ""Festivalnoe"", this situation has already bothered me, where are the tanks of SNT? Unclear! 1 or 2 tanks for such a huge SNT is a shame, but not a reason to spoil.",16,False
"Opposite op 412 km (by rail) there are sawn branches, and a lot of garbage, I would like the owner of the infrastructure to put things in order near his place, and also cut all the wild plants to the end. You understand that some of the dry branches are left there, now our crazy youth can take and replenish, and next to the house, everything will burn there. Hope for understanding.",16,False
"I ask you to make a rate for the mask mode for minibuses Kursk-Tetkino-Kursk, Kursk-Belgorod-Kursk, etc. Rest Lgovsky turn. And look that your mask mode is not observed even by the attendants (driver). During the raid, please take pictures. Taking into account the fact that I recently went and there were 8 passengers in the minibus, taking into account the driver without masks, of course, you will not get 5-6 protocols, if something managed to put on a mask when you see you, you must also draw up a protocol. I hope for understanding, and for a photo report. In general, you need to conduct continuous video recording to confirm the violation.",8,False
"For the next day in a row, a strong stench from the Mushroom Rainbow, it is impossible to stay on the street for a long time, the windows in the house cannot be opened. Are you going to take real action or not??? From your answers about various studies and investigations, there is no result, the stench has remained as it was.",16,False
QR code not received,4,False
I propose to check the quality of this bread and compliance with the production technology as a whole at the plant. Mouse poop found in bread,13,False
"When will the Sergeyevsky FAP be updated? The building has cracks in the walls, leaking roof, furnace heating. Under what conditions are patients admitted? I hope that in 2022 the Sergeevskoye feldsher-obstetric station in the Lgovsky district will be replaced with a new, comfortable and modern one. The answer to the complaint is to send an explanatory note with the application of the facts about the FAP.",4,False
"On the side of the house, Karl Marx Street 66/8, there is a dump of household and construction waste.",16,False
"I ask you to install a road sign “stop” and a stop pavilion. What kind of disgrace is going on with you, there is a stop but there is no sign or pavilion. I also ask you to answer not with a reply, but with the result.",8,False
"Hello. My mom lives on st. 2nd Novoselovka, earlier buses number 6 “ts.rynok-zhd vokzal” and minibuses traveled along Streletskaya on the same route, and it was possible to leave both early in the morning and late in the evening, and it was not necessary to wait for transport for a long time. Now only 2 PAZ buses run, the waiting time for transport sometimes reaches 40-50 minutes. Please help improve the transport accessibility of the area.",8,False
"Why tram car 71-619K No. 5343 does not go on the line. So you applied for tram cars of this brand, and what happened to them, you just killed them even more. When the cars of this series will be repainted.",8,False
"Hello. Signed up through public services and vaccinations. For health reasons, KoviVak is more suitable. Enrollment in 1 clinic on Sadovaya. I'm afraid that I will come, and there is only Sputnik. How to be me.",4,False
"Good afternoon ! Applied in May 2021 for an increased allowance from 3 to 7 years for her first child, who turned 4 in March 2021. A refusal came, although according to all my calculations it should have been approved. The reason given in the refusal is that the first reason is that it exceeds income, the second reason is that an able-bodied family member does not work, that is, I am. I now explain my position. The reason exceeds income: is a child born in April 2021 considered in the calculations, and payments from 3 to 7 years are included in the amount when calculating the living wage? If not, then we have to go through the amount of income for 4 people in the family - my husband's salary for the past year was about 300 thousand, I received unemployment payments from April to September, this is about 30 thousand rubles, and benefits from 3 to 7 years from March to January is about 55 thousand. even taking the amount to the maximum, I didn’t manage to reach 4, which exceeds the subsistence minimum, taking into account benefits from 3 to 7 years. The second reason for refusal is a non-working family member. In March, the eldest child turned 3 years old, sat with him until 3 years old, in April until September she was at the labor exchange, in September she was registered for pregnancy? Whose right? And now my husband is unemployed.",10,False
"I ask you to build a railway line from the Kursk railway station to the airport (Vostochny). It's time to develop an infostructure, or build a tram line. In normal cities, AIREXPRESSES have been going to the airport for a long time.",8,False
"At house number 19 on Druzhby Avenue from the side of the passage to the street. Fetovskaya, an unauthorized parking area is being built. 2 trucks of crushed stone have already been brought to the territory. Please look into it and take action.",11,False
"Today in the afternoon and until the evening there was a stench from the Mushroom Rainbow. Also, please let me know if inspections were carried out by the control and supervisory authorities in connection with the repeated stench during this calendar year, which you have been informed about more than once. Also, if possible, please inform about the amount of penalties. Your inaction is as much of a problem as the stink from the Mushroom Rainbow. Forced to appeal to higher authorities.",16,False
"Municipal Unitary Enterprise ""Lgovskoye"" has not been paid wages for more than two months, the husband works for thanks, which he also does not receive thanks. The head burns the salary receive not earlier than April. How long can you tolerate the irresponsibility of this organization??? PS At the request of a friend I am writing!",14,False
"Near the playground of kindergarten 120, cars are regularly parked on the lawn, namely at the corner of the kindergarten, which is adjacent to school 54. Children in the garden walk on the playground 10 centimeters from someone's cars. So drivers still throw garbage and gobies. I wrote about this earlier in one of my appeals, the result was 0. Make a fence, plant a lawn, plant trees, put a high curb, do at least something. Please take action",3,False
"I study in Moscow, I was tested positive for coronavirus, after which I left by car for Kursk, where I was registered, in order to calmly go through quarantine (I indicated the address in the signed papers to the Moscow Health Department, told me by phone, they promised my papers to the local department). Yesterday was the last day of my quarantine, I wanted to call a doctor from the clinic at my place of residence, but I could not get through to the reception. I plan to leave soon if the second test is negative. What do I need to do and where to go to call a doctor at home and close the quarantine if the virus is no longer there?",4,False
